pid,dream,dejavu,conflict,award
89662,"I am religious (Christian). I would think that this had happened because God had willed this to occur. I would also maybe think that the close relative or friend may have prayed about this, and that they had wanted to tell me something. I would not think that it was a complete coincidence, especially is it was so sudden.","I don't imagine that this is likely, but only because this has never happened before to em. Perhaps I would imagine that this has happened because it was ""meant to be."" I would believe that this person is someone who I will have a valuable relationship with, whether that be as a mentor-mentee, friends, or romantic relationship. I would say that this sentiment/ thought comes from my spirituality/ religion as well.  ","I would imagine that this person is angry with me because of a miscommunication or something that I had said out of frustration or anger during a conversation. I would feel devastated and would be planning an apology (if the mistake was completely mine) or a time to clarify any miscommunications. I do not like it when people are mad at me, and I often try to resolve any issues as soon as possible. I am good at confronting problems and discussing with others/ having conversations about relationships. ","I would imagine that I had received the award for something in science/ research. I would have achieved the award through probably years of work, mentorship and help from my lab members or coworkers. I would feel elated, proud, but humbled. I would feel that I deserved it, but only because I had received help from others and because I was blessed with the gift of education/ knowledge. I would also continue in my efforts in science and/or research, to continue advancing knowledge in my field. "
65329,I think they visited me upon their crossing over to the other side. Their soul probably visited each family member/person they cared for in a personal way to provide comfort upon their death. I would accept that dream as closure and assurance that my family member is okay on the other side. It would help me to move on after their death.,"I think that in a way, we are all connected on a deep level. I don't put a lot of thought into encounters like this though. The furthest I've thought into it is that everyone in our life enters and exits for a reason. I don't yet think that feeling this feeling necessarily has any meaning.","They are angry with me because I hurt their feelings. I hurt their feelings by not being empathetic and compassionate enough to them when they were talking about an issue I saw as solvable. I think they are right to be upset with me, but wrong not to see it from my point of view. I am offering them a genuine solution to the issue they are having. ","I won an award for revolutionizing medicine through increased awareness of self. Through my research, I was able to create a new path for self healing both on a physical and spiritual level. This increased self awareness allows for the collective to open our minds and connect with the world around us. I feel proud of myself for receiving this award and hope that others respect my efforts for getting to where I am."
82023,"Because I did not have a chance to say goodbye, my loved one come back and say goodbye to me. Besides, maybe our relationship in real life is not good enough for both of us to say we love each other and for life wisdom. By telling me indirectly in my dream, it might have been easier. Maybe it is less sad to say goodbye in dream than in real life. ","I think that we probably have the same backgrounds, personalities, and goals. I used to think it could be soulmates, but my logical side tells me that it is just the same network circle that we share that brings us together and makes us feel connected. I think this happens naturally as our network circles overlap with one another. My romantic side will probably think it's fate though. ",They are angry because I told them how they hurt me. I keep telling them not to do such things that make me upset but they keep doing it. The fact that I have to repeat expressing how much they hurt me makes them angry with me. I feel like it was totally my fault and I should have sucked it up and never should have expressed how hurt I was. ,I received the award for being the most caring person in my community. I cared about other people's well-beings and did everything I could for them to make them feel loved and happy. I feel happy that I was able to help others. I feel like what I was doing was right. 
24208,"I think that how this would happen is they would think of someone when they're right about to die. Maybe they have a choice with which person they want to talk to, and generally I think most people pick the youngest person they can still impart wisdom onto. It's happened to me before. I think that on a bigger scale, I guess cosmically, it happens to show you that you're not alone and that they will be okay despite passing away. That you were in their thoughts and they wanted to say their last goodbye to you before they left. ","I think this happened while we were outside on some field (or that's how I picture it). We probably met through some event, maybe done by the university, and we just started being social- my friends and their friends- until the conversation showed us how similar we are. That's what makes it feel like I know them, plus their face looks so familiar. I think we might've met as kids, and I think it could've happened to show me I'm on the right track or to bring us together if one us has been having a rough time. I feel like the world might bring people together like this to help them both through tough times. ","They're angry with me partially because they've been through a lot and a lot of people hurting them, and also probably just to control me, to make me feel guilty. I think what led to this is me being late somewhere, or changing my plans I had with them over something important. It might've been my family that impacted it. I feel like the victim, I feel unjustly insulted but I also feel a bit guilty wondering what I can do to make them calm down. ","I just received the award for a discovery that I made that impacted the Neuroscience/Psychology field. It's like a Nobel prize or something. I think I was able to achieve it through clinical research over years and working with like a group of people as the head of them before we finally made some breakthrough discovery. I feel happy about getting it but I'm crying a little in it, basically just feeling like my purpose has been fulfilled and all the work I've done is getting recognition. I feel like I can safely say I've impacted people now. "
90614,I would feel unable to accept the truth. I know they love me but I haven't got a chance to say I love you too to them. The reason I had that dream may be that they really missed me and hoped to see me in the last minute. ,"The scenario that came to my mind is that we would meet each other during a trip or in a workshop. We would surprisingly find that we have similar experience in childhood, similar values and dreams to chase, and similar difficulties or troubles we are trying to overcome.  ","In my imagination, they might be angry because I messed up some important tasks. I may have forgotten to do what I should do, which negatively influenced the whole group and forced others to work hard to make up for my mistakes. I would feel extremely ashamed of bringing huge trouble to my group and feel like a trouble myself.","I received the award for being kind and helpful to people around me. I think it's one of the natural traits inside me to help people and offer emotional support for them. I always feel empowered when empowering others. I would feel really happy about getting it, which in some way demonstrates my strengths and my values of existence. "
50050,I would not think about it much. Past is dead and life goes on. I tend to focus on my current goals than what have been happened in the past. It is the best way to clear my mind from disturbing thoughts that will not be beneficial or efficient in any way possible.,It is possible that we have shared several common hobbies and are able to engage in deep discussion in such areas. Usually people of similar background will experience this more often. The ability to listen to one another and make witty comments is a good way to give others a good impression. Mutual kindness and humor can also create a sense of closeness. ,"They are angry with me because I fail to achieve their expectations or crossed some barriers in human interactions that I was mostly oblivious of. Depending on the person and situations, I will feel terrible about letting others down and angry at myself, or just completely ignore it and goes on to deal with my own matters. Selective ignorance is one thing I learned to do when I want to be more effective in completing some projects.","I would image myself to receive an award in academics from I the time I have invested in studying. I would be feeling that all my hard work for in-class and extra-curricular activities have finally pay off. I would be both relaxed and nervous when getting it, since it gives me a sense of worth creates the overconfidence that will get to me later."
45583,"I think that this happens because they (and God) knew that you needed to hear from them one last time. They are able to pass this message on to you through a dream because this is the best and least upsetting way of reaching you. 

However, I think it is possible to have these sorts of dreams without the loved one dying. When this occurs, you are less likely to remember/place importance on the dream and advice because it was not made significant by their death. This occurs because you were thinking of them or worrying about them, not necessarily because you are receiving a message from them.","This often occurs because you have much in common or similar life experiences. Your personalities also often complement each other. When you talk, it seems like you have so many shared experiences and beliefs. Even if you didn't experience those events together, it seems like you did because you view and relate them in the same way. ","I am imagining that my brother is angry at me. He is most likely angry because I did not watch him play his video games. He would be frustrated that I am not as interested in what he finds engaging. I would be annoyed because I do not care about video games and would rather spend time doing something else with him. I would also feel guilty that I did not want to watch his games, since I know that they are important to him.  ","Most of the awards I have ever received have been for school, so I would like to have received an award for theatre. I would feel proud of myself and happy. It would be for being accomplished at musical theatre. In order to receive it, I would have had to get over my fear of singing on stage and merge my singing and acting skills. "
89912,"Well I'm not sure if I can answer how/why that would happen exactly, but I can give my best guess. I would assume that their arrival in the dream was a sign. I'm not super religious or one to believe in a lot of supernatural phenomena, but I do think everything happens for a reason. Them coming in that dream was probably their way of saying goodbye to you and getting closure. ","It could happen because we like a lot of the same things. It could happen because we have similar temperaments, or that the temperaments that we do have compliment each other really well. Sometimes, when you meet someone new and really give them a chance, you can really be surprised by how alike you are.","If someone is angry with me forreal, it's probably because I said something mean. Not necessarily because I planned to do so, or am someone with malice at heart, but because I am loose with my words or thoughts sometimes. If I genuinely make someone angry, I typically feel really bad because often I didn't intend to do that. ","I just won the boyfriend of the year award! I got it because though I am flawed, I am a well-meaning and thoughtful person. I always try to go above and beyond to make sure my girlfriend is happy and feeling good. I feel great about getting it, because it validates my hard work."
85445,"I don't know how and why this happens at all. My guess would be that as I miss my loved one, she also misses me and cares about me, and so before she dies, she actually sends me a message through my dream.","It could be that the person knows a lot about me and I happen to know a lot about him. Moreover, we like each other instantly so it feels like old friends. The reason or this could be that I've met and known people sharing similar personalities as that someone before.","There can be many reasons they are angry with me. It could be that I disappointed, hurt, betrayed, or lied to the person. Or it could also be that our ideas conflict with each other, so we cannot reach consensus. It could also be that the person is having a bad day and he/she is throwing a tantrum to me. No matter what the reason is, I would feel very upset and I would be filled with negative emotions all over my body.","The award may be something regarding my achievement in academics. I was able to receive it because I studied hard and successfully applied all the learning techniques, skills, and time management skills in my life. I would feel very proud of myself."
87242,"I'm not one to necessarily believe in higher powers or destiny that may cause this kind of thing, but I do thing people have a pretty strong sense of intuition which may be at play. In a situation like this, I would argue 'you' personally had some sort of subconscious understanding that your loved one might pass and so you materialized this advice yourself as a means of getting closure. There have been times in my life, even recently, similar to this where I was in disbelief that the timing could have been so perfect. But to that end, I still think even in times of weakness or bad health we inherently have some sort of intuition or willpower that allows us to for example hold on until a loved one can see us before we pass.","I think that type of natural connection comes from a generally similar view of the world. This can be by way of the way we were raised, particularly important moments in our childhood, or compatible personalities in general. Regardless of why our views of the world are similar, I think that people's worldview really dictates their personality, sense of humor, and general way of connecting to people. There are other factors like an openness to communicate which may contribute to it, but I would say there has to be some kind of shared experience or worldview to get this sense of familiarity.","I'd imagine I did something that they didn't expect or want. My feeling about the situation would depend on how I approached it or acted. If I did what I intended I would feel comfortable with my actions knowing that I made a conscious decision and did what I believed I should even if it didn't line up with what they wanted. If it was an unintended action or had consequences I didn't expect, I would definitely feel a level of shame and try to apologize or make it up to them in some way.","I can't imagine what I would receive an award for, but it would have to be something to do with communication or involvement. I don't like striving for actual awards or nominations and feel the best role I play in communities is connecting people within them behind the scenes. I'd feel somewhat proud but also a little out of place actually receiving an award, as the pride comes with the work itself not some sort of title. Getting the award itself would definitely not be something I would have pursued myself."
