pid,essay_type,essay,score,comments,millis
89662,angry,"I would imagine that this person is angry with me because of a miscommunication or something that I had said out of frustration or anger during a conversation. I would feel devastated and would be planning an apology (if the mistake was completely mine) or a time to clarify any miscommunications. I do not like it when people are mad at me, and I often try to resolve any issues as soon as possible. I am good at confronting problems and discussing with others/ having conversations about relationships.",0.80,"

Composite score: 0.8",871
65329,angry,"They are angry with me because I hurt their feelings. I hurt their feelings by not being empathetic and compassionate enough to them when they were talking about an issue I saw as solvable. I think they are right to be upset with me, but wrong not to see it from my point of view. I am offering them a genuine solution to the issue they are having.",0.40,"

Composite score: 0.4",902
82023,angry,They are angry because I told them how they hurt me. I keep telling them not to do such things that make me upset but they keep doing it. The fact that I have to repeat expressing how much they hurt me makes them angry with me. I feel like it was totally my fault and I should have sucked it up and never should have expressed how hurt I was.,-0.50,"

Composite score: -0.5",881
24208,angry,"They're angry with me partially because they've been through a lot and a lot of people hurting them, and also probably just to control me, to make me feel guilty. I think what led to this is me being late somewhere, or changing my plans I had with them over something important. It might've been my family that impacted it. I feel like the victim, I feel unjustly insulted but I also feel a bit guilty wondering what I can do to make them calm down.",-0.50,"

Composite score: -0.5",725
90614,angry,"In my imagination, they might be angry because I messed up some important tasks. I may have forgotten to do what I should do, which negatively influenced the whole group and forced others to work hard to make up for my mistakes. I would feel extremely ashamed of bringing huge trouble to my group and feel like a trouble myself.",0.80,"

Composite score: 0.8",734
50050,angry,"They are angry with me because I fail to achieve their expectations or crossed some barriers in human interactions that I was mostly oblivious of. Depending on the person and situations, I will feel terrible about letting others down and angry at myself, or just completely ignore it and goes on to deal with my own matters. Selective ignorance is one thing I learned to do when I want to be more effective in completing some projects.",0.60,"

Composite score: 0.6",857
45583,angry,"I am imagining that my brother is angry at me. He is most likely angry because I did not watch him play his video games. He would be frustrated that I am not as interested in what he finds engaging. I would be annoyed because I do not care about video games and would rather spend time doing something else with him. I would also feel guilty that I did not want to watch his games, since I know that they are important to him.",0.60,"

Composite score: 0.6",875
89912,angry,"If someone is angry with me forreal, it's probably because I said something mean. Not necessarily because I planned to do so, or am someone with malice at heart, but because I am loose with my words or thoughts sometimes. If I genuinely make someone angry, I typically feel really bad because often I didn't intend to do that.",0.60,"

Composite score: 0.6",894
85445,angry,"There can be many reasons they are angry with me. It could be that I disappointed, hurt, betrayed, or lied to the person. Or it could also be that our ideas conflict with each other, so we cannot reach consensus. It could also be that the person is having a bad day and he/she is throwing a tantrum to me. No matter what the reason is, I would feel very upset and I would be filled with negative emotions all over my body.",0.60,"

Composite score: 0.6",917
87242,angry,"I'd imagine I did something that they didn't expect or want. My feeling about the situation would depend on how I approached it or acted. If I did what I intended I would feel comfortable with my actions knowing that I made a conscious decision and did what I believed I should even if it didn't line up with what they wanted. If it was an unintended action or had consequences I didn't expect, I would definitely feel a level of shame and try to apologize or make it up to them in some way.",0.60,"

Composite score: 0.6",672
76170,angry,"If someone is angry at me, I would try to figure out the reason for this. Most of the time, the anger they feel can be misjudged, in a sense that they are disappointed or hurt. This is why I would try to find the reason, to figure out the source. Usually, when someone is angry at me, it is because of something I did that made them upset. I would try to ask them why this made them feel upset, and try to resolve the issue with minimal conflict.",0.80,"

Composite score: 0.8",769
36009,angry,"Okay it's really hard for me to imagine this. My parents will be mad about me getting a bad grade on an exam if they know the week leading up to it I barely studied and spent a lot of time on ""useless"" activities like hanging out with friends. And my boyfriend will be nearly mad at me when I forget we have plans to hang out and I then try to make it work with both parties and he ultimately doesn't get to spend as much time with me as he wanted. I feel bad. I feel guilty about the bad grade because I upset my parents and know they were right and I could've done better. And I feel bad about my boyfriend because I forgot something and hurt his feelings.",0.40,"

Composite score: 0.4",634
88031,angry,"Last night I ate some of my roommates blueberries and I feel guilty about it, so when I imagine someone being angry with me I picture her being upset that some of them are gone. Personally, I would be slightly upset that somebody ate my blueberries, so I would think that she is at least slightly bugged about it. I feel like I should maybe buy some berries and offer her some to compensate for the ones I ate, or share some other food item with her later.",0.70,"

Composite score: 0.7",513
26479,angry,"They are angry with me because I had to cancel our plans. They were super excited to see me and spend time together, but I wasn't really feeling up for having social interaction with someone. I feel bad about having to cancel but know that would be best for me. I would promise to see them soon.",0.80,"

0.8",420
69853,angry,"I think they are probably angry with me because I was being a bad communicator. I often find myself getting busy and caught up in my own life and forget to check up on others. This makes me feel extremely stressed and sad because I am a people pleaser and don't like when people are upset with me, especially those who I am close with.",0.80,"

Composite score: 0.8",753
89905,angry,"Maybe because we had some clashes when playing basketball. I was acting too hard and had strong physical contact with someone. I felt sorry for him right now, but I will probably just feel angry too at that scenario.",0.20,"

Composite score: 0.2",540
78894,angry,"Maybe because I did something wrong; or, maybe they are poor at controlling their thoughts and behavior so they are easily getting irritated. Also, it is possible that there's misunderstanding between us. I feel very upset and stressful when others are angry at me, because somethings they yell at me, or do not respond to me when I talk with them.This can make me feel bad.",0.60,"

Composite score: 0.6",756
99961,angry,"They are angry because I failed to spend enough time with them or make time with them. They feel less of a priority. I feel disappointed in myself for not making the time. However, I do know that I can't be everywhere for everyone as I have to take time for myself.",0.60,"

Composite score: 0.6",750
22693,angry,"I wasn't considerate about their feelings or I went ahead and did something that I liked without regarding them/ listening to them. Sometimes I act out of my own wants/needs and don't tell the person, which in turn can make the person feel unheard and disregarded. I don't like to have people feel mad at me, because it feels shitty knowing that it could have been avoided if we just communicated. I would prefer to handle situations after I've cleared my head and can give neutral responses/ solutions without being clouded by emotions.",0.80,"

Composite score: 0.8",764
77509,angry,They are angry because they feel I do not make enough time for them in my life. They feel that they are putting effort into our relationship but i am not reciprocating at the same level. I feel that i can understand their feelings but at the same time have a lot on my plate and do not think they are understanding of my responsibilities and workload. i am detached from the situation because i understand their feelings are not truly aimed at me.,0.40,"

Composite score: 0.4",696
91997,angry,They would be angry at me because I disagreed with them on something and I spoke out about it. They would be angry because they disagree with me. I personally would be upset with the person for being angry at me. I would be upset because I do not like confrontation and petty drama.,-0.50,"

Composite score: -0.5",624
24421,angry,"They are angry with me because I forgot to do something I said I would. I made a promise to do something, and, whether I meant to or not, I broke it. I feel really guilty, but I honestly probably did not want to do the thing anyways. If I really want to follow through on a promise, I do; but, since I forgot to here, I must have not cared enough. Nevertheless, I feel guilty because I know that I have hurt someone else.",0.60,"

Composite score: 0.6",701
49285,angry,"I'm not sure why they're angry with me; presumably it would be because of something I'd done that had hurt or irritated them. I make a pretty active effort to avoid doing things that make other people angry, but for argument's sake my lack of reliability (ie constantly being late to things) is one of my more irritating traits. Typically when people are angry with me, I feel very small and afraid, and default to assuming they're in the right. I'm working on that, though--thanks, therapy!",0.60,"

0.6",499
71619,angry,"I imagined someone was angry with me because I failed in some way. I felt shame and anxiety. I felt like I could not escape the situation, and worried that I could do nothing to improve the situation. I also felt upset that I had lost some of the person's trust and frustrated with myself because I would take time to rebuild that trust.",-0.50,"

Composite score: -0.5",757
92366,angry,"They are likely angry with me because I said ""went too far"" and expressed myself too much. I likely said something that was extremely direct and hurt their feelings (I have no filter). I feel extremely guilty about this situation now and cannot let go. I can't sleep, I can't do my homework; all I can do is replay the situation in my head and wish i could take back those words.",-0.50,Composite score: -0.5,822
71589,angry,"I would imagine someone is angry with me because I offended them unintentionally. I think that this may be the case because often I say things before I truly think of the full impact that they may have on others. I don't mean to offend or hurt others, and so this is something that I am constantly trying to avoid and prevent from occurring. I would feel very guilty and upset with myself.",0.80,0.8,445
77781,angry,"The first thing that comes to mind with this scenario is someone, probably my mother, would be angry at me for being angry at them or because I got aggressively passionate about something. There have been times where I ostracize people in my life after arguments, most likely political, and they tend to get angry due to my reaction, which would most likely be anger or passion that could come out as anger. I would likely feel angry at the person if I felt their anger was unfounded but if I actually did something wrong, I feel I am not bad at taking responsibility for my actions and apologizing.",0.40,"

Composite score: 0.4",735
62763,angry,"Someone is angry with me because I do not know what my exact future career/job is yet. What led them to be angry is that college can be very expensive and if you don't have a plan then you could spend years in college wasting thousands of dollars. I feel upset that this person is angry with me, I am consistently trying to figure out what I want to be in the future but it also isn't the easiest decision to make. I am a very indecisive person so when it comes to something as big as my entire future I can change my mind a lot or become unsure of what I really want.",0.40,0.4,497
45094,angry,I think someone would be angry with me if they misunderstood me. I can express things in an misleading tone and have unexpressive facial expressions which may not convey my true feelings. They would feel angry because they thought I was angry. I would feel frustrated and upset because people always misunderstand me and this creates a rift.,0.60,"

Composite score: 0.6",803
16925,angry,"I would say that they are angry at me for not being able to fix what they need into my schedule. I was unable to do a task of theirs because I was so busy with my own to do, and didn't get to do theirs. I would say I feel annoyed because they can easily do their task. It is not only up to me to do something of theirs.",0.20,"

Composite score: 0.2",802
