pid,response,hum1,hum2,hum3,hum4,hum5,hum6,standardized
89662,"I would imagine that I had received the award for something in science/ research. I would have achieved the award through probably years of work, mentorship and help from my lab members or coworkers. I would feel elated, proud, but humbled. I would feel that I deserved it, but only because I had received help from others and because I was blessed with the gift of education/ knowledge. I would also continue in my efforts in science and/or research, to continue advancing knowledge in my field.",5,5,5,3,3,3,0.48
65329,"I won an award for revolutionizing medicine through increased awareness of self. Through my research, I was able to create a new path for self healing both on a physical and spiritual level. This increased self awareness allows for the collective to open our minds and connect with the world around us. I feel proud of myself for receiving this award and hope that others respect my efforts for getting to where I am.",5,5,4,3,4,4,-0.10
82023,I received the award for being the most caring person in my community. I cared about other people's well-beings and did everything I could for them to make them feel loved and happy. I feel happy that I was able to help others. I feel like what I was doing was right.,5,5,5,3,3,3,0.48
24208,"I just received the award for a discovery that I made that impacted the Neuroscience/Psychology field. It's like a Nobel prize or something. I think I was able to achieve it through clinical research over years and working with like a group of people as the head of them before we finally made some breakthrough discovery. I feel happy about getting it but I'm crying a little in it, basically just feeling like my purpose has been fulfilled and all the work I've done is getting recognition. I feel like I can safely say I've impacted people now.",5,5,5,3,3,3,0.48
90614,"I received the award for being kind and helpful to people around me. I think it's one of the natural traits inside me to help people and offer emotional support for them. I always feel empowered when empowering others. I would feel really happy about getting it, which in some way demonstrates my strengths and my values of existence.",5,5,5,3,3,3,0.48
50050,"I would image myself to receive an award in academics from I the time I have invested in studying. I would be feeling that all my hard work for in-class and extra-curricular activities have finally pay off. I would be both relaxed and nervous when getting it, since it gives me a sense of worth creates the overconfidence that will get to me later.",5,5,4,3,4,4,-0.10
45583,"Most of the awards I have ever received have been for school, so I would like to have received an award for theatre. I would feel proud of myself and happy. It would be for being accomplished at musical theatre. In order to receive it, I would have had to get over my fear of singing on stage and merge my singing and acting skills.",5,5,6,3,2,3,0.86
89912,"I just won the boyfriend of the year award! I got it because though I am flawed, I am a well-meaning and thoughtful person. I always try to go above and beyond to make sure my girlfriend is happy and feeling good. I feel great about getting it, because it validates my hard work.",5,5,5,3,3,3,0.48
85445,"The award may be something regarding my achievement in academics. I was able to receive it because I studied hard and successfully applied all the learning techniques, skills, and time management skills in my life. I would feel very proud of myself.",5,5,4,3,4,4,-0.10
87242,"I can't imagine what I would receive an award for, but it would have to be something to do with communication or involvement. I don't like striving for actual awards or nominations and feel the best role I play in communities is connecting people within them behind the scenes. I'd feel somewhat proud but also a little out of place actually receiving an award, as the pride comes with the work itself not some sort of title. Getting the award itself would definitely not be something I would have pursued myself.",5,5,5,3,3,3,0.48
76170,"If I receive an award, it is usually for my dedication/hard work. I work very hard to accomplish tasks in life, whether it be school or other activities, and I know that I am sometimes rewarded for this. I wouldn't say that I would accomplish the work just for the reward, but more so to feel an accomplishment within myself. I feel that receiving the award can be good at times, however it is more in the pride in yourself that you feel for accomplishing the task. For example, when my parents tell me that they are proud of me for my hard work in school, I feel very accomplished and proud of myself, which does not happen if I were to get money for my grades.",5,5,4,3,4,4,-0.10
36009,"I received an award for getting so far considering how much of a mess I am. Like I am loved and happy and able to put myself together even though I'm very disorganized, do everything last minute, and am so forgetful and literally move slowly. I feel happy about this award, like I really deserve it. I was able to achieve it by being myself and didn't have to fake anything.",5,5,5,3,3,3,0.48
88031,"I would love to make Dean's List again, so I'll imagine that I made it this semester, although I am not sure if that is technically an award. To make Dean's List, I would have worked hard through most of the semester with the support of my friends who motivate me to keep going. I would have done a good job with planning out my weeks and with staying on top of my school work and studying. If this was to happen, I would feel proud of myself, as I went through a rough academic period over the past two years.",5,5,4,3,4,4,-0.10
26479,I just received an award for doing well on the National Latin Exam. I was able to achieve this by taking Latin for multiple years and studying hard for the test. I feel very proud of myself for my accomplishments! My teacher was also very proud of me and wanted me to do well.,5,5,4,3,4,4,-0.10
69853,Usually when I receive an award it is for academic or athletic success. I receive the award for my hard work and dedication to a task. I devote lots of time to the task and work especially hard to stick out among other classmates/teammates. I am super proud of myself and encouraged to keep working when I get an award.,3,5,4,5,4,4,-0.86
89905,maybe for being a good badminton player. I got it because I practiced a lot. I feel proud and happy.,3,5,4,5,4,4,-0.86
