pid,response,layDefinition,spir1,spir2,spir3,spir4,standardized
89662,"I am religious (Christian). I would think that this had happened because God had willed this to occur. I would also maybe think that the close relative or friend may have prayed about this, and that they had wanted to tell me something. I would not think that it was a complete coincidence, especially is it was so sudden.",7,6,7,7,6,1.14
65329,I think they visited me upon their crossing over to the other side. Their soul probably visited each family member/person they cared for in a personal way to provide comfort upon their death. I would accept that dream as closure and assurance that my family member is okay on the other side. It would help me to move on after their death.,6,6,7,7,5,0.96
82023,"Because I did not have a chance to say goodbye, my loved one come back and say goodbye to me. Besides, maybe our relationship in real life is not good enough for both of us to say we love each other and for life wisdom. By telling me indirectly in my dream, it might have been easier. Maybe it is less sad to say goodbye in dream than in real life.",5,5,5,5,4,-0.09
24208,"I think that how this would happen is they would think of someone when they're right about to die. Maybe they have a choice with which person they want to talk to, and generally I think most people pick the youngest person they can still impart wisdom onto. It's happened to me before. I think that on a bigger scale, I guess cosmically, it happens to show you that you're not alone and that they will be okay despite passing away. That you were in their thoughts and they wanted to say their last goodbye to you before they left.",6,6,7,7,5,0.96
90614,I would feel unable to accept the truth. I know they love me but I haven't got a chance to say I love you too to them. The reason I had that dream may be that they really missed me and hoped to see me in the last minute.,3,3,3,5,4,-0.78
50050,I would not think about it much. Past is dead and life goes on. I tend to focus on my current goals than what have been happened in the past. It is the best way to clear my mind from disturbing thoughts that will not be beneficial or efficient in any way possible.,2,2,2,3,4,-1.48
45583,"I think that this happens because they (and God) knew that you needed to hear from them one last time. They are able to pass this message on to you through a dream because this is the best and least upsetting way of reaching you. However, I think it is possible to have these sorts of dreams without the loved one dying. When this occurs, you are less likely to remember/place importance on the dream and advice because it was not made significant by their death. This occurs because you were thinking of them or worrying about them, not necessarily because you are receiving a message from them.",5,5,5,5,4,-0.09
89912,"Well I'm not sure if I can answer how/why that would happen exactly, but I can give my best guess. I would assume that their arrival in the dream was a sign. I'm not super religious or one to believe in a lot of supernatural phenomena, but I do think everything happens for a reason. Them coming in that dream was probably their way of saying goodbye to you and getting closure.",5,5,5,5,4,-0.09
85445,"I don't know how and why this happens at all. My guess would be that as I miss my loved one, she also misses me and cares about me, and so before she dies, she actually sends me a message through my dream.",5,4,5,5,4,-0.26
87242,"I'm not one to necessarily believe in higher powers or destiny that may cause this kind of thing, but I do thing people have a pretty strong sense of intuition which may be at play. In a situation like this, I would argue 'you' personally had some sort of subconscious understanding that your loved one might pass and so you materialized this advice yourself as a means of getting closure. There have been times in my life, even recently, similar to this where I was in disbelief that the timing could have been so perfect. But to that end, I still think even in times of weakness or bad health we inherently have some sort of intuition or willpower that allows us to for example hold on until a loved one can see us before we pass.",5,5,5,5,4,-0.09
76170,"When someone older gives me advice, I try to listen to them and see how I could implement their advice into my life. Often times, my grandmother tells me things that are for my own good, even if I do not think so at that moment. I will say that even though they give me advice, this does not mean I am going to follow it, but I respect their thought, and will consider it. It is also a foreshadowing moment to know that one of their last memories you have of them is about wisdom, and is something you will probably never forget.",5,5,5,5,4,-0.09
36009,"I think it's a sign form God. God wanted us to feel extra warm towards that person right before we learn of their death to make us feel more connected to them, so we keep them in our thoughts and prayers more, or maybe to make us feel remorseful for not spending more time with them while they were alive. But also to maybe energize us to follow their wisdom since it was the ""last thing"" they said to us before they died.",7,7,7,7,5,1.14
88031,"To me, this would be a weird freak coincidence; I don't believe in religion or a higher power, so I wouldn't attribute it to anything like that. However, there have been multiple times where I have thought about somebody and then seen them shortly after. Maybe this is an indicator of some sort of spiritual connection held between people. I am not sure if anybody will ever know the reason why things like this happens.",3,3,2,3,4,-1.13
26479,"I think this happens because I was sensing their energy and knew what was happening. They wanted to make sure I could say ""goodbye"" to them and receive a message they wanted me to know. I have had experiences like this after a loved one has died but not right after. This would be a very interesting and strange experience to have but would definitely have some sort of deeper meaning.",6,6,7,7,5,0.96
69853,"I am religious, so I would take this as a sign from God. It was the loved one coming to say goodbye before they left.",7,6,7,7,6,1.14
89905,"I guess this is some sort of magical connection we get among family members. Maybe the loved-one wanted to talk to me before he died, but I was not there. And this is how I receive his messages. It can be also due to the fact that I really missed him.",5,5,5,6,4,0.09
78894,"I would doubt that's because of magic, like, my grandma came to see me for one last time by some supernatural power. But then I will believe that this can be explained by some scientific theories we haven't explore yet.",4,4,4,5,4,-0.44
99961,"I personally believe that we are all interconnected and that when people need you the most is when you will show up for them. Just as I believe that people come into your life when you need them: I believe that when people are struggling you're given this sense that you need to connect with that person. I have personally experienced this and I don't entirely understand it. However, I do know that medically, people can show signs of improvement right before they die.",6,6,7,7,5,0.96
22693,"I think that there is an ""other side"" of something higher than this current plane we live in exists, and sometimes people can hang onto this plane for a few moments to give their last goodbyes before moving on. I think that perhaps that far-away loved one knew that I could use an goodbye and just showed up to say they loved me without leaving me in the dark.",6,6,7,7,5,0.96
77509,The universe is made up of energy and it is conserved so when they died their energy was transferred into my dream where they were able to communicate with me for a final time. sleep is also where i am not controlled by my conscious so spirits are able to easily enter my dream realm. loved ones often sometimes get a feeling someone is passing without having any actual awareness so maybe because I was sleep this would be another part of that feeling.,7,6,7,7,6,1.14
91997,I would believe that it was actually them coming to me in a dream to tell me the info they spoke to me about. This would be strange for me because I don't really think about people that I am around too much like that. I would think that it is God's way of letting them talk to me one more time.,7,6,7,7,6,1.14
24421,"I think that I dreamed about the far away loved one because they are an angel in my life. I do think that I believe in human angels, almost in a It's a Wonderful Life way, although I don't know why. This, I think, is why someone would have come to visit me before leaving- angels live with humans for good reasons and a final visit may have been to complete their given purpose. I suppose I know, from a scientific perspective, that a dream is just neurons firing and random brain activity, but I think that what I believe conflicts with this knowledge.",6,6,5,6,4,0.26
49285,"I'd assume it was coincidence. I probably dreamed about them because they were on my mind that day. I seek a lot of support from my loved ones, so it makes sense that I'd dream about an exchange like that. I also dream about them frequently as it is.",2,2,2,3,3,-1.48
71619,"I feel like this would be most likely to happen to me if I knew the their time was close. I think I would be more likely to be consciously or unconsciously thinking about this person and the emotion would be more likely to come up in my dreams. For example, I know that my grandparents are getting much older, so the love I feel for them is tinged with a bit of sadness when I think of them, because I know that I only have so much time left to spend with them. I think subtle feelings like this are likely to come up in dreams.",3,3,3,5,4,-0.78
92366,"I am going nuts because I don't understand how this kind of coincidence happened. It's likely just a coincidence. It's not like some exterior force or spirit made this happen, it's just life. Sometimes weird, connected things happen at the same time.",2,2,2,3,2,-1.83
71589,"I think this happens as a result of God's influence. I am religious, but aside from these beliefs I also think that some things happen for a reason. Maybe this is fate, maybe it is a serendipitous occurrence, but regardless I don't think this would happen without there being an intention or purpose. I think this happens in order for those who lose loved ones to find closure. I also think this may be God's way of providing comfort to people in situations like these, since there is nothing anyone living can really do to ""fix"" the issue.",7,7,7,7,5,1.14
77781,"It is situations like this that make me believe there probably is a higher power or doubt atheism. I think that the frequency of this occurring is not coincidental and probably occurs as a result of a higher power. I believe in souls, so I think perhaps this could be a visit from a person's soul before they go to an afterlife, if there is one, or just die for good. I definitely do not have a concrete answer for this one and there still is a great deal of confusion surrounding this for me.",6,7,7,7,6,1.31
62763,I believe this can happen out of pure coincidence sometimes. Our dreams can be very random from time to time so it makes sense that a random family member could suddenly visit us in a dream and give us some life advice. It is a crazy coincidence with a small chance of it happening but I think it can indeed happen and can be very offputting when it does. Sometimes dreams have a weird way of being very connected to our real lives as well but if there was truly no indication or background feeling that a distant family member may pass then it was just a coincidence.,3,3,2,3,4,-1.31
45094,I think this would happen if you subconsciously miss them and feel like their presence is lacking in your life. This could be the universe's way of allowing you to let go emotionally before you realize they are physically gone. One last fond memory and advice is something that you can use in the future and apply their wisdom to future obstacles so that it feels like they are walking with you.,5,6,5,5,4,0.09
16925,"I feel like our bodies or minds are connected more to our loved ones than we realize. For example, my great grandmother who I was close with died and I had dreams of her and especially after getting a bracelet of hers that I wear a lot. I call it my good luck bracelet. It could also be because you are just close to this person.",5,6,5,5,4,0.09
93965,"In my family, it is not uncommon to have a dream about a a relative who just happens to live far away and then soon after learn the news that they have passed. To me, I have always seen it as a warning or heads up. A way to prepare for what is about to come. How this happens? No clue but it does reinforce this idea that we are all somehow connected.",5,6,5,5,4,0.09
36842,"Various scenarios come to mind as to why this could have happened; one is pure coincidence, perhaps you were thinking about them during the day, and in your dreams your subconsciousness worked it in. There have also been instances of close individuals, such as twins, experiencing an almost psychological connection, like feeling pain in a body part the other twin hurt. There could be a connection of that type with the close person, though I would not know how or why it occurs.",5,4,5,5,4,-0.26
85953,"If my loved one was sick, I would understand why I would have a dream about them, especially one where they give me advice they would not be able to tell me in their current state. I think this happens because if someone we love and look up to is unwell, we start to think about all the things we want to say to them before they pass away, as well as what they might want to say to us.",5,4,5,6,4,-0.09
99276,"I think our minds sometimes create things we may need or want to hear, even sometimes things we might not want to hear! Perhaps the grandparent's spirit is visiting you in your sleep, but I am not sure on how I exactly feel about that.",5,5,5,5,4,-0.09
82483,I do not believe in outside forces but I think if it was close friend or relative I would pay attention closely. I think it may have happened because deep down we all are connected in some fashion. Things like thinking of people at the same time and calling them is some form of what happened with this dream.,5,6,5,5,4,0.09
79340,"I don't think there is a reason for this happening, beyond a coincidence. But, I would treasure the advice I received in the dream out of memory for the loved one. If the dream felt real, it would essentially be my last memory of that person. The dream sounds like a good memory, so it would be a good way to remember that loved one.",3,3,3,4,4,-0.96
58555,"The deceased family member was visiting me before going to heaven. They visited me because they regretted not telling me this wisdom when they were alive. They wanted their last memory of them to be memorable and to say their final goodbye in ""person."" It is a sign of how much they loved me.",6,5,6,6,4,0.26
26708,"Oh I might feel really bad if my far-away loved one passed away. But yes, I find this situation to be reasonable because although I don't know the underlying reason behind this, I feel like there's always some mutual connections between people. If you are happy with someone through one experience, the other person would probably feel the same. We are all social people, and we thrive through positive connections with others.",5,5,5,5,4,-0.09
31579,"This can happen when someone has a special bond with another person. These special bonds bring people closer together and allows them to be ""in sync"". Another reason this can happen is spirituality. Some people believe that spirits can inhabit your dreams.",6,6,7,7,5,0.96
83629,"I would think that this happened because I likely had something in the previous days that reminded me of that individual (i.e. saw a photo, smelled a scent I associate with them, etc). I think this type of event happens because your brain wants to make subliminal connections and try to make events meaningful. I also think that this is a way for your brain to cope with extreme emotions.",3,3,3,5,4,-0.78
11221,"I believe that if this happened, my entire life view would change. My religious beliefs run thin if at all and my scientific side is very prominent but if something like this happened, I would feel very lucky to have my grandparent not only visit me, but impart some sort of knowledge before passing on. I also feel as though if it made sense to, I would pass the knowledge onto others and especially those that need to hear it assuming it makes sense with their situation.",5,6,5,5,4,0.09
35670,"This has actually happened to me before, but they come visit me after they've passed. I'm a spiritual person, so I believe this happens because your loved one recognizes that you need their support in that moment. I think some part of the universe recognizes that this loved one is important to you, so they send them over to impart some last wisdom. Also, I think this is a way for relatives or the universe to tell you that you are not alone and that you are able to face the battles that come your way.",6,6,7,7,5,0.96
50144,"If this happened to me, I would see it as something very meaningful because I usually don't remember my dreams enough to explain them to someone the next day or write them down. I might think that my loved one visited me in a dream to say goodbye to me and leave me with words of wisdom before they moved on to some sort of afterlife or ceased to exist. I would hold these words very close to my heart and believe that they were things I was supposed to hear.",6,5,6,6,4,0.26
53211,I would think that they loved me the most in their life and wanted to say goodbye to me with the life wisdom. I would keep those in mind until I die.,6,5,6,6,4,0.26
79843,"I would probably have to call it coincidental. I'm not a strong believer in premonition. That being said, I've no doubt that I would treasure such a dream. Regardless of whether or not it was the result of coincidence or some deeper spiritual connection, knowing that the ones we love love us too is important and comforting.",2,2,2,3,4,-1.48
62768,"I would view this interaction as some kind of strong spiritual connection between myself and this person. I am religious, so I suppose that an explanation for this could be that they were communicating with me from an afterlife. However, if this scenario really happened, I don't know if this is the conclusion I would actually jump to. I would probably try to rationalize why this happened logically by saying that there was likely some other event that triggered this thought in my mind.",5,6,5,5,4,0.09
41401,i like to imagined that this happened because this significant figure has played an important part of your role either growing up with you personally or helping you with your darkest times. or neither yet they made you feel happy in certain ways and you find comfort in their presence. the fact that they came over to your and exclaimed life wisdom meant that your impact on them is also significant. they had spent their last moments breathing just to talk with you and share their stories with you too. it's very heart-touching and that they will always have a special place in your heart.,5,6,5,5,4,0.09
85043,"Perhaps subconsciously you knew that they were close to their death and your mind tried to protect you and bring you comfort by imagining them in your dream. You conjure up an image of them in your mind as a way of coping with the fact that you know they might be gone, and imagine them giving you life wisdom. It might help you feel more closure towards their death in general.",3,3,3,5,4,-0.78
46483,I think this happened because they have passed away but want to leave you the last words before they go. I am a somewhat spiritual person and I believe in the life after-death. Dream is one way that death people and alive people communicate. They miss you and they want to communicate with you.,6,6,7,7,5,0.96
81812,"My grandfather visited me in a dream and assured me that I am capable of anything. Then, he died of ongoing illness. I think that this happened because my subconscious was probably already coping with his soon-to-come passing. What he told me was probably what my brain knew I needed to hear.",6,5,6,6,4,0.26
82872,"I think it happens because we have emotional connections. If I am worried about someone far-away, it can be possible that I have a dream like this. But I will still feel sad with a little bit comfort from the dream.",4,4,4,5,4,-0.44
29198,"This is most likely a coincidence. This far-away loved one was likely sick and, in focusing on them, your subconscious mind has conjured happy memories and thoughts about them. This is a way to connect them with how you remember them vs the present situation. Since they have been in your thoughts recently and you are concerned, it is natural for your subconscious to try to work through your emotions by dreaming.",2,2,2,3,4,-1.48
41041,"I'm not the most spiritual person but I don't think there are any logical explanations for why this may happen. My guess would be that their essence was trying to comfort and communicate with me. Another guess would be an extremely rare coincidence. Unfortunately, I don't remember my dreams as often as I used to so I'm not even sure if I would remember it.",5,6,5,5,4,0.09
84440,"I feel as though this would happen as a part of my loved one's departure. I would know that my dream was a part of their last goodbye, and I would utilize every bit of wisdom they shared with me in my dream. I think that this is definitely a realistic scenario as I believe in the afterlife.",6,5,6,6,4,0.26
59678,"I do not feel like there is a correlation between the two just because there is no scientific evidence dreams translate to reality. However, I do feel like perhaps I was going through something personal I was struggling with and needed a figure to spearhead my growth. To me, I would feel like them passing away would motivate me further to become a better person and resolve my issues. I would also feel sad but know they are in a better place.",3,3,3,4,4,-0.96
16861,"I believe that this happens to give people a sense of closure that they may have otherwise not received. When people die, their spirits are able to communicate with people who they have felt connected to throughout their life. I feel like this can happen through dreams, gut feelings, and deja vu. Depending on the relationship you have with the other person, receiving their wisdom in a dream can be a reflection of your unconscious desire to please them or looking to them for approval.",6,6,7,7,5,0.96
11003,I think this could happen because subconsciously you are thinking about them and wanting to connect with them. This might mean you have a sense of longing for them and you want to see them.,5,4,5,5,4,-0.26
20638,I this could happen if they were sick and I knew they may die soon. I think the wisdom may be something they said when I was younger and it was stored somewhere in my subconscious and might reappear when I am thinking about them more often.,3,4,3,3,4,-0.96
68911,"I think family members have a mutual sense of compassion for each other, so when one of them is in trouble, the others will know something is wrong. I think that a loved one may visit in a dream to say their goodbye if they were unable to do it in person. This unexpected visit will give you peace of mind that your loved one is okay and cares for you even in their passing.",6,5,6,6,4,0.26
33817,I would believe that their soul had visited me during the night after they had passed. I am a very spiritual person and would think that there had to be a reason this dream would happen. I've heard stories about these situations and even had friends have spiritual dreams along this topic. I think their soul would be able to go into another realm/dream plane in order to visit.,7,7,7,7,6,1.31
16742,I think there is a great power that connects us together in the world. It can be religious or non-religious but things seem to happen for a reason. It would be something that science has not fully uncovered the true reason. I will be interesting to find out one day how that happens.,6,6,7,7,5,0.96
18059,I am religious so f this was to happen to me I would think it was God letting them speak to me and check in on me one last time before they died.,7,6,7,7,5,0.96
69516,"Sometimes life is weird, and sometimes people just get feelings about something. And your head/brain takes that into considerations, so at night if you have a dream, a summation of what happened the previous day and what your body unconsciously feels affects your dreams. It was probably a coincidence.",3,3,3,4,4,-0.96
73467,"I am not a spiritual or religious person; however, sometimes things like this happen for unexplained reasons. Or perhaps, there is a science behind it and you knew this person was sick, old, or lived a high risk lifestyle and were worried about them which manifested through a dream. I believe that dreams are manifestations of your emotions or things you are thinking about or working through. Therefore, a person visiting you in your dream and then learning they died may have just been your way of working through whatever is going on in your life. They might not even be connected.",5,5,5,5,4,-0.09
47724,"I think my friend who lives in California visits to give wisdom because we spent two years becoming best friends and getting to know each other really well, but then separated for college and grew apart. We are still great friends but just not as close as when in high school. I think this is her way of telling me it's okay that we haven't kept in great touch because we are already connected so deeply. We had a great connection that will last a lifetime even when we are separated for forever.",6,5,6,6,5,0.44
27006,"I think that this would happen because of a divine intervention as a way to comfort me in my loved one's passing and also as a way for that loved one to be at peace knowing that I know what they wanted to tell me. I think while it would hurt initially, that it would comfort me in the long run. My grandmother had a similar expierience once and I have expierienced similar and I see it as a way that God may communicate with us as crazy as that may sound.",7,7,7,7,6,1.31
18289,"I believe that God providentially imparts wisdom. I don't think that spirits can really communicate after death and attempts to contact the afterlife are usually demonic. So it could be the case that God providentially allowed you that experience, but it was not the spirit of the loved one.",7,6,7,7,6,1.14
50119,"I'm fairly spiritual and also Buddhist so I would probably think that this was their spirit or soul visiting before leaving this world or dimension. My family has a history of having experiences communicating with deceased loved ones and maintaining relationships with deceased loved ones as well as having unexpected encounters with them. The human brain is essentially a sensor and perceives *only* what it is able to sense as the only reality, so there is a possibility that there's another dimension/world/whatever you want to call it that we are simply unable to sense, though some individuals are able to tune into it. I sound like a crazy person to most people.",6,6,7,7,5,0.96
