step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,105,1,0.41064815523736453,0.0,0.0
2,194,2,0.4959053496866678,0.0,0.14285714285714285
3,275,3,0.5106422667432343,0.0,0.14285714285714285
4,484,4,0.18329050407166403,0.0,0.0
5,573,5,0.3534702107342838,0.0,0.0
6,694,6,0.2357884418637259,0.0,0.14285714285714285
7,791,7,0.21607895406351113,0.0,0.2857142857142857
8,920,8,0.13744845189412444,0.0,0.42857142857142855
9,993,9,0.15630466360055528,0.0,0.7142857142857143
10,1122,10,0.14634202676727,0.0,0.42857142857142855
11,1243,11,0.15238008694793095,0.0,0.2857142857142857
12,1324,12,0.2646242281944724,0.0,0.42857142857142855
13,1413,13,0.17662086836464536,0.0,0.14285714285714285
14,1462,14,0.21159311884262325,0.0,0.5714285714285714
15,1543,15,0.198419113590091,0.0,0.42857142857142855
16,1664,16,0.1240652868161851,0.0,0.2857142857142857
17,1777,17,0.1400883252043942,0.0,0.14285714285714285
18,1842,18,0.2078355134418234,0.0,0.42857142857142855
19,1899,19,0.19270122717217808,0.0,0.42857142857142855
20,1996,20,0.11637914964702456,0.0,0.5714285714285714
21,2077,21,0.1953942214474082,0.0,0.2857142857142857
22,2174,22,0.11646148944386366,0.0,0.42857142857142855
23,2319,23,0.057875899511855095,0.0,0.7142857142857143
24,2384,24,0.1113054871255008,0.0,0.5714285714285714
25,2505,25,0.11933568987997324,0.0,0.2857142857142857
26,2626,26,0.20262250462158896,0.0,0.14285714285714285
27,2707,27,0.10800408398860602,0.0,0.5714285714285714
28,2788,28,0.13963516864832493,0.0,0.42857142857142855
29,2893,29,0.12258119683694811,0.0,0.2857142857142857
30,2982,30,0.12767467366039373,0.0,0.2857142857142857
31,3135,31,0.055075990722030656,0.0,0.8571428571428571
32,3224,32,0.08963009447367352,0.0,0.42857142857142855
33,3337,33,0.1772269127610239,0.0,0.14285714285714285
34,3418,34,0.09382567540311722,0.0,0.8571428571428571
35,3563,35,0.06810731475897937,0.0,0.5714285714285714
36,3652,36,0.17732606828530237,0.0,0.14285714285714285
37,3725,37,0.1689071388193406,0.0,0.42857142857142855
38,3854,38,0.0613640074055138,0.0,0.7142857142857143
39,3991,39,0.06224377290153986,0.0,0.7142857142857143
40,4096,40,0.0932615390368021,0.0,0.5714285714285714
41,4153,41,0.2386898708483204,0.0,0.42857142857142855
42,4282,42,0.1573431931108462,0.0,0.14285714285714285
43,4419,43,0.13644607639830453,0.0,0.2857142857142857
44,4540,44,0.12828954013374946,0.0,0.42857142857142855
45,4613,45,0.16615031643770634,0.0,0.14285714285714285
46,4718,46,0.12712757896524496,0.0,0.14285714285714285
47,4831,47,0.09069021223029787,0.0,0.42857142857142855
48,4928,48,0.10536438674336143,0.0,0.5714285714285714
49,5025,49,0.13834574259259774,0.0,0.14285714285714285
50,5106,50,0.18653479283628982,0.0,0.2857142857142857
51,5171,51,0.18081108896687512,0.0,0.2857142857142857
52,5252,52,0.13116821072646417,0.0,0.5714285714285714
53,5317,53,0.20220622986162198,0.0,0.14285714285714285
54,5422,54,0.10157726934584879,0.0,0.5714285714285714
55,5503,55,0.1723931188696297,0.0,0.7142857142857143
56,5568,56,0.14203228726895759,0.0,0.7142857142857143
57,5641,57,0.1588262674331458,0.0,0.42857142857142855
58,5714,58,0.1571097309757412,0.0,0.5714285714285714
59,5795,59,0.1239585874362092,0.0,0.7142857142857143
60,5868,60,0.15216410241244982,0.0,0.2857142857142857
61,5949,61,0.11631211463687946,0.0,0.42857142857142855
